Movie Name,Rating,Rating,Category,Description,Director
Back to the Future,8.5/10,8.5/10,Adventure,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis
Psycho,8.5/10,8.5/10,Horror,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock
The Lion King,8.5/10,8.5/10,Animation,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers
Modern Times,8.5/10,8.5/10,Comedy,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin
American History X,8.5/10,8.5/10,Drama,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye
City Lights,8.5/10,8.5/10,Comedy,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin
Hotaru no haka,8.5/10,8.5/10,Animation,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata
Whiplash,8.5/10,8.5/10,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle
Gladiator,8.5/10,8.5/10,Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott
The Departed,8.5/10,8.5/10,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese
Intouchables,8.5/10,8.5/10,Biography,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache
The Prestige,8.5/10,8.5/10,Drama,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan
Casablanca,8.5/10,8.5/10,Drama,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz
C'era una volta il West,8.5/10,8.5/10,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone
Rear Window,8.5/10,8.5/10,Mystery,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism o... Read all",Alfred Hitchcock
Nuovo Cinema Paradiso,8.5/10,8.5/10,Drama,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore
Alien,8.4/10,8.4/10,Horror,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely ... Read all",Ridley Scott
Apocalypse Now,8.4/10,8.4/10,Drama,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola
Memento,8.4/10,8.4/10,Mystery,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan
Raiders of the Lost Ark,8.4/10,8.4/10,Action,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg
The Great Dictator,8.4/10,8.4/10,Comedy,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin
Das Leben der Anderen,8.4/10,8.4/10,Drama,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck
Django Unchained,8.4/10,8.4/10,Drama,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Quentin Tarantino
Paths of Glory,8.4/10,8.4/10,Drama,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick
Sunset Blvd.,8.4/10,8.4/10,Drama,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder
WALL·E,8.4/10,8.4/10,Animation,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton
Avengers: Infinity War,8.4/10,8.4/10,Action,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo
The Shining,8.4/10,8.4/10,Drama,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick
Witness for the Prosecution,8.4/10,8.4/10,Crime,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder
Spider-Man: Into the Spider-Verse,8.4/10,8.4/10,Animation,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4/10,8.4/10,Comedy,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Stanley Kubrick
Joker,8.4/10,8.4/10,Crime,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him fa... Read all",Todd Phillips
Mononoke-hime,8.4/10,8.4/10,Animation,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th... Read all",Hayao Miyazaki
Oldeuboi,8.4/10,8.4/10,Action,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-Wook
Kimi no na wa.,8.4/10,8.4/10,Animation,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai
The Dark Knight Rises,8.4/10,8.4/10,Action,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan
Once Upon a Time in America,8.3/10,8.3/10,Crime,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone
Aliens,8.3/10,8.3/10,Action,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen... Read all",James Cameron
Coco,8.4/10,8.4/10,Animation,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich
Capharnaüm,8.4/10,8.4/10,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki
Avengers: Endgame,8.4/10,8.4/10,Action,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action... Read all",Anthony Russo
Das Boot,8.3/10,8.3/10,Adventure,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Wolfgang Petersen
Tengoku to jigoku,8.4/10,8.4/10,Crime,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa
Hamilton,8.4/10,8.4/10,Biography,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi... Read all",Thomas Kail
American Beauty,8.3/10,8.3/10,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes
Toy Story,8.3/10,8.3/10,Animation,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter
3 Idiots,8.4/10,8.4/10,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all",Rajkumar Hirani
Amadeus,8.3/10,8.3/10,Biography,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered h... Read all",Milos Forman
Braveheart,8.3/10,8.3/10,Biography,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson
Inglourious Basterds,8.3/10,8.3/10,Adventure,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino
Good Will Hunting,8.3/10,8.3/10,Drama,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant
Star Wars: Episode VI - Return of the Jedi,8.3/10,8.3/10,Action,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark... Read all",Richard Marquand
2001: A Space Odyssey,8.3/10,8.3/10,Adventure,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Stanley Kubrick
Reservoir Dogs,8.3/10,8.3/10,Crime,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino
M - Eine Stadt sucht einen Mörder,8.3/10,8.3/10,Crime,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang
Taare Zameen Par,8.4/10,8.4/10,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Aamir Khan
Vertigo,8.3/10,8.3/10,Mystery,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis... Read all",Alfred Hitchcock
Citizen Kane,8.3/10,8.3/10,Drama,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Orson Welles
Idi i smotri,8.3/10,8.3/10,Drama,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov
Jagten,8.3/10,8.3/10,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to... Read all",Thomas Vinterberg
Requiem for a Dream,8.3/10,8.3/10,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky
Singin' in the Rain,8.3/10,8.3/10,Comedy,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Stanley Donen
North by Northwest,8.3/10,8.3/10,Adventure,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock
Eternal Sunshine of the Spotless Mind,8.3/10,8.3/10,Drama,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry
Ladri di biciclette,8.3/10,8.3/10,Drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Vittorio De Sica
Ikiru,8.3/10,8.3/10,Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa
Lawrence of Arabia,8.3/10,8.3/10,Adventure,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean
Pather Panchali,8.5/10,8.5/10,Drama,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray
The Kid,8.3/10,8.3/10,Comedy,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin
Full Metal Jacket,8.3/10,8.3/10,Drama,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick
Dangal,8.4/10,8.4/10,Action,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari
The Father,8.3/10,8.3/10,Drama,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his... Read all",Florian Zeller
Dune,8.4/10,8.4/10,Action,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",Denis Villeneuve
The Apartment,8.3/10,8.3/10,Comedy,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder
A Clockwork Orange,8.3/10,8.3/10,Crime,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick
Metropolis,8.3/10,8.3/10,Drama,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a... Read all",Fritz Lang
Taxi Driver,8.2/10,8.2/10,Crime,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presiden... Read all",Martin Scorsese
Incendies,8.3/10,8.3/10,Drama,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve
Double Indemnity,8.3/10,8.3/10,Crime,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato... Read all",Billy Wilder
The Sting,8.3/10,8.3/10,Comedy,Two grifters team up to pull off the ultimate con.,George Roy Hill
Jodaeiye Nader az Simin,8.3/10,8.3/10,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei... Read all,Asghar Farhadi
Scarface,8.3/10,8.3/10,Crime,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Brian De Palma
1917,8.3/10,8.3/10,Action,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking strai... Read all",Sam Mendes
Snatch,8.3/10,8.3/10,Comedy,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie
Le fabuleux destin d'Amélie Poulain,8.3/10,8.3/10,Comedy,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Jean-Pierre Jeunet
To Kill a Mockingbird,8.3/10,8.3/10,Crime,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan
Toy Story 3,8.2/10,8.2/10,Animation,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ... Read all",Lee Unkrich
Per qualche dollaro in più,8.2/10,8.2/10,Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Sergio Leone
Up,8.2/10,8.2/10,Animation,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter
Indiana Jones and the Last Crusade,8.2/10,8.2/10,Action,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to s... Read all",Steven Spielberg
L.A. Confidential,8.2/10,8.2/10,Crime,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson
Heat,8.2/10,8.2/10,Crime,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann
Yôjinbô,8.2/10,8.2/10,Action,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa
Rashômon,8.2/10,8.2/10,Crime,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa
Ran,8.2/10,8.2/10,Action,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o... Read all",Akira Kurosawa
Die Hard,8.2/10,8.2/10,Action,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan
Green Book,8.2/10,8.2/10,Biography,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly
Der Untergang,8.2/10,8.2/10,Biography,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel
Monty Python and the Holy Grail,8.2/10,8.2/10,Adventure,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam
All About Eve,8.2/10,8.2/10,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz
Some Like It Hot,8.2/10,8.2/10,Comedy,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder
Batman Begins,8.2/10,8.2/10,Action,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan
Unforgiven,8.2/10,8.2/10,Drama,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood
Bacheha-Ye aseman,8.3/10,8.3/10,Drama,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi
Hauru no ugoku shiro,8.2/10,8.2/10,Animation,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ... Read all",Hayao Miyazaki
The Wolf of Wall Street,8.2/10,8.2/10,Biography,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese
Judgment at Nuremberg,8.2/10,8.2/10,Drama,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer
The Great Escape,8.2/10,8.2/10,Adventure,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges
Casino,8.2/10,8.2/10,Crime,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fas... Read all",Martin Scorsese
The Treasure of the Sierra Madre,8.2/10,8.2/10,Adventure,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston
There Will Be Blood,8.2/10,8.2/10,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson
El laberinto del fauno,8.2/10,8.2/10,Drama,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro
A Beautiful Mind,8.2/10,8.2/10,Biography,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard
El secreto de sus ojos,8.2/10,8.2/10,Drama,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi... Read all,Juan José Campanella
Raging Bull,8.2/10,8.2/10,Biography,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese
Tonari no Totoro,8.2/10,8.2/10,Animation,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki
