Movie Name,Rating,Rating,Category,Description,Director
The Sixth Sense,8.1/10,8.1/10,Drama,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",M. Night Shyamalan
Klaus,8.2/10,8.2/10,Animation,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv... Read all",Sergio Pablos
The Third Man,8.1/10,8.1/10,Film-Noir,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed
Smultronstället,8.2/10,8.2/10,Drama,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman
The Truman Show,8.1/10,8.1/10,Comedy,An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir
Jurassic Park,8.1/10,8.1/10,Action,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din... Read all,Steven Spielberg
V for Vendetta,8.1/10,8.1/10,Action,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman.",James McTeigue
Inside Out,8.1/10,8.1/10,Animation,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and... Read all",Pete Docter
Salinui chueok,8.1/10,8.1/10,Crime,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho
Blade Runner,8.1/10,8.1/10,Action,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott
Trainspotting,8.1/10,8.1/10,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle
The Bridge on the River Kwai,8.1/10,8.1/10,Adventure,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t... Read all",David Lean
Fargo,8.1/10,8.1/10,Crime,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen
Warrior,8.1/10,8.1/10,Action,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ... Read all",Gavin O'Connor
Finding Nemo,8.1/10,8.1/10,Animation,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton
Kill Bill: Vol. 1,8.1/10,8.1/10,Action,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino
Gone with the Wind,8.1/10,8.1/10,Drama,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleming
Tôkyô monogatari,8.2/10,8.2/10,Drama,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu
Z,8.3/10,8.3/10,Crime,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them g... Read all,Costa-Gavras
Babam ve Oglum,8.2/10,8.2/10,Drama,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Cagan Irmak
On the Waterfront,8.1/10,8.1/10,Crime,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ... Read all",Elia Kazan
Stalker,8.1/10,8.1/10,Drama,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky
Relatos salvajes,8.1/10,8.1/10,Comedy,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron
The Deer Hunter,8.1/10,8.1/10,Drama,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino
Sherlock Jr.,8.2/10,8.2/10,Action,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton
The General,8.1/10,8.1/10,Action,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ... Read all",Clyde Bruckman
Gran Torino,8.1/10,8.1/10,Drama,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood
Persona,8.1/10,8.1/10,Drama,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman
The Grand Budapest Hotel,8.1/10,8.1/10,Adventure,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson
Prisoners,8.1/10,8.1/10,Crime,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve
Before Sunrise,8.1/10,8.1/10,Drama,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater
Mary and Max.,8.1/10,8.1/10,Animation,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New Y... Read all",Adam Elliot
Mr. Smith Goes to Washington,8.1/10,8.1/10,Comedy,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries... Read all",Frank Capra
Room,8.1/10,8.1/10,Drama,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson
Catch Me If You Can,8.1/10,8.1/10,Biography,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg
In the Name of the Father,8.1/10,8.1/10,Biography,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan
Barry Lyndon,8.1/10,8.1/10,Adventure,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick
Gone Girl,8.1/10,8.1/10,Drama,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher
Hacksaw Ridge,8.1/10,8.1/10,Biography,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor ... Read all",Mel Gibson
Andhadhun,8.2/10,8.2/10,Crime,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan
La passion de Jeanne d'Arc,8.1/10,8.1/10,Biography,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer
To Be or Not to Be,8.2/10,8.2/10,Comedy,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch
Ford v Ferrari,8.1/10,8.1/10,Action,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2... Read all,James Mangold
12 Years a Slave,8.1/10,8.1/10,Biography,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen
The Big Lebowski,8.1/10,8.1/10,Comedy,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen
How to Train Your Dragon,8.1/10,8.1/10,Animation,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois
Mad Max: Fury Road,8.1/10,8.1/10,Action,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named ... Read all",George Miller
Dead Poets Society,8.1/10,8.1/10,Comedy,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir
Höstsonaten,8.2/10,8.2/10,Drama,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",Ingmar Bergman
Ben-Hur,8.1/10,8.1/10,Adventure,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",William Wyler
Million Dollar Baby,8.1/10,8.1/10,Drama,A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood
Harry Potter and the Deathly Hallows: Part 2,8.1/10,8.1/10,Adventure,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates
Le salaire de la peur,8.1/10,8.1/10,Adventure,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot
Stand by Me,8.1/10,8.1/10,Adventure,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner
Network,8.1/10,8.1/10,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet
Ah-ga-ssi,8.1/10,8.1/10,Drama,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-Wook
Logan,8.1/10,8.1/10,Action,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s... Read all",James Mangold
Cool Hand Luke,8.1/10,8.1/10,Crime,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg
Les quatre cents coups,8.1/10,8.1/10,Crime,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut
Hachi: A Dog's Tale,8.1/10,8.1/10,Biography,A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström
Gangs of Wasseypur,8.2/10,8.2/10,Action,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap
La haine,8.1/10,8.1/10,Crime,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz
Platoon,8.1/10,8.1/10,Drama,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th... Read all",Oliver Stone
Spotlight,8.1/10,8.1/10,Biography,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy
Koe no katachi,8.2/10,8.2/10,Animation,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Naoko Yamada
Eskiya,8.2/10,8.2/10,Crime,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul
Rebecca,8.1/10,8.1/10,Drama,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock
Life of Brian,8.1/10,8.1/10,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones
"Monsters, Inc.",8.1/10,8.1/10,Animation,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ... Read all",Pete Docter
Hotel Rwanda,8.1/10,8.1/10,Biography,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George
Fa yeung nin wah,8.1/10,8.1/10,Drama,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong
Rush,8.1/10,8.1/10,Action,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard
Into the Wild,8.1/10,8.1/10,Adventure,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ... Read all",Sean Penn
Amores perros,8.1/10,8.1/10,Drama,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu
Rocky,8.1/10,8.1/10,Drama,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen
Strasti po Andreyu,8.1/10,8.1/10,Biography,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky
Kaze no tani no Naushika,8.1/10,8.1/10,Animation,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki
It Happened One Night,8.1/10,8.1/10,Comedy,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin... Read all",Frank Capra
Before Sunset,8.1/10,8.1/10,Drama,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1/10,8.1/10,Animation,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Hideaki Anno
Fanny och Alexander,8.1/10,8.1/10,Drama,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Ingmar Bergman
La battaglia di Algeri,8.1/10,8.1/10,Drama,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo
Kimetsu no Yaiba: Mugen Ressha-Hen,8.3/10,8.3/10,Animation,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen... Read all",Haruo Sotozaki
Trois couleurs: Rouge,8.1/10,8.1/10,Drama,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski
The Princess Bride,8.1/10,8.1/10,Adventure,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his tr... Read all",Rob Reiner
"Paris, Texas",8.1/10,8.1/10,Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders
Le notti di Cabiria,8.1/10,8.1/10,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini
Du rififi chez les hommes,8.1/10,8.1/10,Crime,"Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin
Mandariinid,8.2/10,8.2/10,Drama,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded... Read all",Zaza Urushadze
